Store_ID,Product_ID,Current_Stock,Reserved_Stock,Safety_Stock,Maximum_Capacity
BST-001,PROD-001,2581,140,1493,6175
BST-001,PROD-002,10,3,9,266
BST-001,PROD-003,2118,242,705,6404
BST-001,PROD-004,21,0,6,175
BST-001,PROD-005,4257,310,653,5398
BST-001,PROD-006,1861,140,465,2810
BST-001,PROD-007,1776,387,368,2368
BST-001,PROD-008,39,3,5,147
BST-001,PROD-009,16,3,6,161
BST-001,PROD-010,18,1,4,60
BST-001,PROD-011,304,11,487,2409
BST-001,PROD-012,485,18,460,3073
BST-001,PROD-013,8,4,4,88
BST-001,PROD-014,26,5,4,119
BST-001,PROD-015,11,2,4,60
BST-001,PROD-016,12,4,4,52
BST-001,PROD-017,6,4,4,52
BST-001,PROD-018,4153,426,915,4935
BST-001,PROD-019,50,5,10,294
BST-001,PROD-020,72,4,13,368
BST-001,PROD-021,66,4,9,266
BST-001,PROD-022,208,20,152,2015
BST-001,PROD-023,15,0,6,175
BST-001,PROD-024,2113,28,967,4046
BST-001,PROD-025,445,94,913,4343
BST-001,PROD-026,1740,284,1004,8013
BST-001,PROD-027,17,0,4,60
BST-001,PROD-028,10,0,4,60
BST-001,PROD-029,5782,391,1488,6174
BST-001,PROD-030,9,3,4,60
BST-001,PROD-031,7,3,4,52
BST-001,PROD-032,15,1,4,52
BST-001,PROD-033,1008,286,1110,7818
BST-001,PROD-034,13,5,4,52
BST-001,PROD-035,39,1,4,52
BST-002,PROD-001,1397,113,164,4734
BST-002,PROD-002,3116,309,405,6508
BST-002,PROD-003,26,2,7,189
BST-002,PROD-004,243,73,288,1236
BST-002,PROD-005,16,2,10,287
BST-002,PROD-006,4864,461,1911,9393
BST-002,PROD-007,66,3,8,228
BST-002,PROD-008,49,3,7,189
BST-002,PROD-009,1496,430,438,6713
BST-002,PROD-010,20,5,4,77
BST-002,PROD-011,7612,475,909,7875
BST-002,PROD-012,28,0,4,116
BST-002,PROD-013,8,4,4,116
BST-002,PROD-014,18,5,5,154
BST-002,PROD-015,3057,277,1111,4575
BST-002,PROD-016,2597,118,1500,8256
BST-002,PROD-017,4,3,4,52
BST-002,PROD-018,9,4,4,52
BST-002,PROD-019,4988,323,350,6018
BST-002,PROD-020,28,0,17,476
BST-002,PROD-021,4282,352,138,6149
BST-002,PROD-022,79,5,9,266
BST-002,PROD-023,45,1,8,228
BST-002,PROD-024,19,4,7,189
BST-002,PROD-025,1896,430,235,3523
BST-002,PROD-026,15,4,4,94
BST-002,PROD-027,15,4,4,77
BST-002,PROD-028,2750,82,433,4077
BST-002,PROD-029,12,1,4,56
BST-002,PROD-030,4037,374,422,4748
BST-002,PROD-031,1086,242,506,2453
BST-002,PROD-032,1509,194,214,4948
BST-002,PROD-033,6,2,4,52
BST-002,PROD-034,286,6,1849,8925
BST-002,PROD-035,39,1,4,52
BST-003,PROD-001,34,2,8,217
BST-003,PROD-002,38,3,10,276
BST-003,PROD-003,105,25,719,3464
BST-003,PROD-004,47,5,7,186
BST-003,PROD-005,0,0,8,231
BST-003,PROD-006,39,4,7,200
BST-003,PROD-007,49,0,7,186
BST-003,PROD-008,456,45,487,3066
BST-003,PROD-009,39,0,6,172
BST-003,PROD-010,99,20,578,4831
BST-003,PROD-011,24,3,4,77
BST-003,PROD-012,679,67,1023,5683
BST-003,PROD-013,136,27,285,5550
BST-003,PROD-014,109,15,272,3992
BST-003,PROD-015,20,3,4,63
BST-003,PROD-016,16,3,4,52
BST-003,PROD-017,1136,44,205,4036
BST-003,PROD-018,1898,341,415,1930
BST-003,PROD-019,12,5,11,308
BST-003,PROD-020,3617,343,1279,6622
BST-003,PROD-021,942,161,113,1969
BST-003,PROD-022,27,3,8,217
BST-003,PROD-023,13,4,7,186
BST-003,PROD-024,15,4,5,154
BST-003,PROD-025,7565,85,1363,8657
BST-003,PROD-026,2206,341,503,2426
BST-003,PROD-027,701,40,176,3925
BST-003,PROD-028,21,3,4,63
BST-003,PROD-029,9,1,4,52
BST-003,PROD-030,5,4,4,63
BST-003,PROD-031,2710,258,449,3525
BST-003,PROD-032,15,2,4,52
BST-003,PROD-033,5,0,4,52
BST-003,PROD-034,13,2,4,52
BST-003,PROD-035,39,3,4,52
BST-004,PROD-001,9,1,7,203
BST-004,PROD-002,31,2,9,262
BST-004,PROD-003,17,3,5,144
BST-004,PROD-004,12,0,6,175
BST-004,PROD-005,36,3,8,217
BST-004,PROD-006,28,0,7,189
BST-004,PROD-007,26,1,6,175
BST-004,PROD-008,6354,432,416,7965
BST-004,PROD-009,32,4,6,161
BST-004,PROD-010,13,3,4,60
BST-004,PROD-011,9,5,4,74
BST-004,PROD-012,5159,252,261,6561
BST-004,PROD-013,22,5,4,88
BST-004,PROD-014,19,0,4,116
BST-004,PROD-015,4813,52,1023,5437
BST-004,PROD-016,5,5,4,52
BST-004,PROD-017,9,1,4,52
BST-004,PROD-018,837,0,231,1359
BST-004,PROD-019,70,2,10,290
BST-004,PROD-020,3,3,13,364
BST-004,PROD-021,41,5,9,262
BST-004,PROD-022,912,272,760,4167
BST-004,PROD-023,5549,117,811,8080
BST-004,PROD-024,43,5,5,144
BST-004,PROD-025,677,147,1080,6715
BST-004,PROD-026,21,0,4,74
BST-004,PROD-027,981,91,209,3128
BST-004,PROD-028,6,1,4,60
BST-004,PROD-029,8,5,4,52
BST-004,PROD-030,599,42,664,2886
BST-004,PROD-031,3974,242,1350,5563
BST-004,PROD-032,17,3,4,52
BST-004,PROD-033,3080,271,968,4723
BST-004,PROD-034,3871,84,241,5866
BST-004,PROD-035,7873,447,2139,8825
BST-005,PROD-001,13,0,4,105
BST-005,PROD-002,5120,46,340,5926
BST-005,PROD-003,24,0,4,74
BST-005,PROD-004,1276,300,1120,4634
BST-005,PROD-005,0,0,4,112
BST-005,PROD-006,3121,293,1162,5532
BST-005,PROD-007,11,5,4,91
BST-005,PROD-008,16,0,4,74
BST-005,PROD-009,2633,116,936,5295
BST-005,PROD-010,2244,194,315,4037
BST-005,PROD-011,18,4,4,52
BST-005,PROD-012,6878,425,1679,9722
BST-005,PROD-013,11,2,4,52
BST-005,PROD-014,3,0,4,60
BST-005,PROD-015,3972,226,573,5025
BST-005,PROD-016,11,0,4,52
BST-005,PROD-017,13,5,4,52
BST-005,PROD-018,4284,77,1703,9090
BST-005,PROD-019,7219,116,1683,8646
BST-005,PROD-020,1700,436,1783,9427
BST-005,PROD-021,35,1,5,136
BST-005,PROD-022,9,2,4,105
BST-005,PROD-023,13,4,4,91
BST-005,PROD-024,23,5,4,74
BST-005,PROD-025,3358,93,1047,5239
BST-005,PROD-026,3206,141,953,6148
BST-005,PROD-027,794,34,214,1275
BST-005,PROD-028,13,4,4,52
BST-005,PROD-029,7,1,4,52
