Inventory_ID,Store_ID,Product_ID,Current_Stock,Reserved_Stock,Safety_Stock,Maximum_Capacity,Incoming_Stock,Last_Restock_Date,Inventory_Status
INV00001,BST-001,PROD-012,103,18,460,3073,175,2026-07-07,Low Stock
INV00002,BST-001,PROD-007,1776,387,368,2368,514,2026-07-08,Normal
INV00003,BST-001,PROD-003,2118,242,705,6404,373,2026-07-02,Normal
INV00004,BST-001,PROD-001,2561,140,1493,6175,608,2026-07-12,Normal
INV00005,BST-001,PROD-018,4153,426,915,4935,770,2026-07-31,Overstocked
INV00006,BST-001,PROD-024,2113,28,967,4046,321,2026-07-04,Normal
INV00007,BST-001,PROD-038,1622,475,352,1843,221,2026-07-25,Overstocked
INV00008,BST-001,PROD-047,2907,37,733,7415,909,2026-07-07,Normal
INV00009,BST-001,PROD-029,5782,391,1488,6174,392,2026-07-21,Overstocked
INV00010,BST-001,PROD-011,304,11,487,2409,805,2026-07-09,Low Stock
INV00011,BST-001,PROD-049,1589,469,1096,6231,170,2026-07-19,Normal
INV00012,BST-001,PROD-026,1740,284,1004,8013,509,2026-07-02,Normal
INV00013,BST-001,PROD-040,1710,195,584,2578,620,2026-07-19,Normal
INV00014,BST-001,PROD-033,1008,286,1110,7818,512,2026-07-23,Low Stock
INV00015,BST-001,PROD-025,445,94,913,4343,711,2026-07-14,Low Stock
INV00016,BST-001,PROD-006,1861,140,465,2810,838,2026-07-26,Normal
INV00017,BST-001,PROD-022,208,20,152,2015,198,2026-07-15,Normal
INV00018,BST-001,PROD-005,4295,310,653,5398,927,2026-07-15,Normal
INV00019,BST-001,PROD-044,709,110,1319,6356,285,2026-07-22,Low Stock
INV00020,BST-001,PROD-042,2215,464,570,6414,804,2026-07-28,Normal
INV00021,BST-002,PROD-019,4988,323,350,6018,820,2026-07-22,Overstocked
INV00022,BST-002,PROD-001,1397,113,164,4734,663,2026-07-29,Normal
INV00023,BST-002,PROD-041,172,33,470,2516,967,2026-07-14,Low Stock
INV00024,BST-002,PROD-006,4864,461,1911,9393,124,2026-07-22,Normal
INV00025,BST-002,PROD-009,1496,430,438,6713,252,2026-07-26,Normal
INV00026,BST-002,PROD-047,294,3,228,4138,163,2026-07-25,Normal
INV00027,BST-002,PROD-015,3057,277,1111,4575,148,2026-07-09,Normal
INV00028,BST-002,PROD-032,1509,194,214,4948,812,2026-07-31,Normal
INV00029,BST-002,PROD-011,7612,475,909,7875,263,2026-07-11,Overstocked
INV00030,BST-002,PROD-030,4037,374,422,4748,32,2026-07-12,Overstocked
INV00031,BST-002,PROD-028,2750,82,433,4077,256,2026-07-22,Normal
INV00032,BST-002,PROD-021,4282,352,138,6149,299,2026-07-07,Normal
INV00033,BST-002,PROD-046,1397,328,534,3558,220,2026-07-30,Normal
INV00034,BST-002,PROD-031,1086,242,506,2453,13,2026-07-28,Normal
INV00035,BST-002,PROD-025,1896,430,235,3523,694,2026-07-23,Normal
INV00036,BST-002,PROD-016,2597,118,1500,8256,907,2026-07-22,Normal
INV00037,BST-002,PROD-050,3564,41,1945,9524,410,2026-07-21,Normal
INV00038,BST-002,PROD-004,243,73,288,1236,371,2026-07-08,Low Stock
INV00039,BST-002,PROD-002,3116,309,405,6508,541,2026-07-22,Normal
INV00040,BST-002,PROD-034,286,6,1849,8925,607,2026-07-19,Low Stock
INV00041,BST-003,PROD-003,105,25,719,3464,273,2026-07-23,Low Stock
INV00042,BST-003,PROD-008,456,45,487,3066,307,2026-07-26,Low Stock
INV00043,BST-003,PROD-010,99,20,578,4831,706,2026-07-02,Low Stock
INV00044,BST-003,PROD-027,701,40,176,3925,927,2026-07-30,Normal
INV00045,BST-003,PROD-043,3048,439,1955,8802,778,2026-07-30,Normal
INV00046,BST-003,PROD-012,679,67,1023,5683,612,2026-07-23,Low Stock
INV00047,BST-003,PROD-020,3617,343,1279,6622,547,2026-07-10,Normal
INV00048,BST-003,PROD-025,7565,85,1363,8657,885,2026-07-08,Overstocked
INV00049,BST-003,PROD-021,942,161,113,1969,588,2026-07-05,Normal
INV00050,BST-003,PROD-014,109,15,272,3992,849,2026-07-19,Low Stock
INV00051,BST-003,PROD-044,1672,263,563,8346,0,2026-07-23,Normal
INV00052,BST-003,PROD-031,2710,258,449,3525,801,2026-07-12,Normal
INV00053,BST-003,PROD-038,1333,402,345,1568,235,2026-07-04,Overstocked
INV00054,BST-003,PROD-040,454,104,438,5017,842,2026-07-28,Normal
INV00055,BST-003,PROD-050,2062,215,630,6789,113,2026-07-27,Normal
INV00056,BST-003,PROD-039,490,151,122,5513,883,2026-07-20,Normal
INV00057,BST-003,PROD-026,2206,341,503,2426,220,2026-07-09,Overstocked
INV00058,BST-003,PROD-017,1136,44,205,4036,722,2026-07-09,Normal
INV00059,BST-003,PROD-018,1898,341,415,1930,32,2026-07-20,Overstocked
INV00060,BST-003,PROD-013,136,27,285,5550,809,2026-07-22,Low Stock
INV00061,BST-004,PROD-025,677,147,1080,6715,712,2026-07-02,Low Stock
INV00062,BST-004,PROD-023,5549,117,811,8080,266,2026-07-30,Normal
INV00063,BST-004,PROD-048,3249,120,1135,9422,688,2026-07-25,Normal
INV00064,BST-004,PROD-031,3974,242,1350,5563,468,2026-07-07,Normal
INV00065,BST-004,PROD-012,5541,252,261,6561,514,2026-07-28,Overstocked
INV00066,BST-004,PROD-022,912,272,760,4167,721,2026-07-07,Normal
INV00067,BST-004,PROD-043,1291,178,310,2526,918,2026-07-21,Normal
INV00068,BST-004,PROD-049,89,29,577,4052,174,2026-07-25,Low Stock
INV00069,BST-004,PROD-047,174,44,542,4052,126,2026-07-11,Low Stock
INV00070,BST-004,PROD-030,599,42,664,2886,827,2026-07-31,Low Stock
INV00071,BST-004,PROD-038,2283,475,1192,8239,556,2026-07-17,Normal
INV00072,BST-004,PROD-034,3871,84,241,5866,749,2026-07-09,Normal
INV00073,BST-004,PROD-045,3154,99,580,4609,554,2026-07-25,Normal
INV00074,BST-004,PROD-033,3080,271,968,4723,395,2026-07-01,Normal
INV00075,BST-004,PROD-008,6354,432,416,7965,296,2026-07-26,Normal
INV00076,BST-004,PROD-050,3057,109,1042,8467,302,2026-07-17,Normal
INV00077,BST-004,PROD-018,837,0,231,1359,522,2026-07-10,Normal
INV00078,BST-004,PROD-027,981,91,209,3128,229,2026-07-22,Normal
INV00079,BST-004,PROD-015,4813,52,1023,5437,624,2026-07-19,Overstocked
INV00080,BST-004,PROD-035,7873,447,2139,8825,414,2026-07-19,Overstocked
INV00081,BST-005,PROD-035,2531,300,1174,8227,938,2026-07-20,Normal
INV00082,BST-005,PROD-045,2124,64,846,4442,479,2026-07-02,Normal
INV00083,BST-005,PROD-019,7219,116,1683,8646,333,2026-07-11,Overstocked
INV00084,BST-005,PROD-027,794,34,214,1275,481,2026-07-22,Normal
INV00085,BST-005,PROD-012,6878,425,1679,9722,748,2026-07-22,Normal
INV00086,BST-005,PROD-006,3121,293,1162,5532,506,2026-07-07,Normal
INV00087,BST-005,PROD-026,3206,141,953,6148,423,2026-07-05,Normal
INV00088,BST-005,PROD-010,2244,194,315,4037,140,2026-07-30,Normal
INV00089,BST-005,PROD-036,4690,387,953,5250,560,2026-07-19,Overstocked
INV00090,BST-005,PROD-038,3507,105,162,5099,518,2026-07-11,Normal
INV00091,BST-005,PROD-042,3946,334,163,4068,122,2026-07-09,Overstocked
INV00092,BST-005,PROD-018,4284,77,1703,9090,244,2026-07-18,Normal
INV00093,BST-005,PROD-020,1700,436,1783,9427,517,2026-07-16,Low Stock
INV00094,BST-005,PROD-004,1276,300,1120,4634,850,2026-07-08,Normal
INV00095,BST-005,PROD-032,1744,396,961,8629,846,2026-07-02,Normal
INV00096,BST-005,PROD-025,3358,93,1047,5239,181,2026-07-11,Normal
INV00097,BST-005,PROD-033,5968,60,229,6595,588,2026-07-09,Overstocked
INV00098,BST-005,PROD-015,3972,226,573,5025,826,2026-07-26,Normal
INV00099,BST-005,PROD-009,2633,116,936,5295,689,2026-07-30,Normal
INV00100,BST-005,PROD-002,5120,46,340,5926,752,2026-07-30,Overstocked
INV00101,BST-006,PROD-013,2908,141,1101,5476,373,2026-07-20,Normal
