transfer_id,timestamp,from_store,to_store,product_id,transfer_qty,city,status,eta
TRK-DEL-9316,2026-07-31 13:34:12,BST-008,BST-001,PROD-004,21,Delhi NCR,IN_TRANSIT,45 minutes
TRK-DEL-9785,2026-07-31 13:57:49,BST-004,BST-001,PROD-012,382,Delhi NCR,IN_TRANSIT,45 minutes
TRK-DEL-7296,2026-08-16 18:14:00,BST-001,BST-012,PROD-005,38,Delhi NCR,IN_TRANSIT,45 minutes
TRK-KOL-8229,2026-08-16 18:32:46,BST-098,BST-094,PROD-004,13,Kolkata,IN_TRANSIT,45 minutes
TRK-DEL-3506,2026-08-16 18:34:51,BST-004,BST-001,PROD-001,20,Delhi NCR,IN_TRANSIT,45 minutes
TRK-DEL-1039,2026-08-16 18:37:28,BST-007,BST-011,PROD-004,25,Delhi NCR,IN_TRANSIT,45 minutes
TRK-DEL-9503,2026-08-16 18:37:42,BST-011,BST-010,PROD-002,25,Delhi NCR,IN_TRANSIT,45 minutes
TRK-DEL-5308,2026-08-16 18:39:26,BST-013,BST-021,PROD-005,25,Delhi NCR,IN_TRANSIT,45 minutes
TRK-DEL-1551,2026-08-16 19:03:08,BST-018,BST-019,PROD-032,10,Delhi NCR,IN_TRANSIT,45 minutes
TRK-DEL-3423,2026-08-16 19:27:40,BST-018,BST-017,PROD-004,25,Delhi NCR,IN_TRANSIT,45 minutes
TRK-DEL-3114,2026-08-16 21:55:29,BST-002,BST-009,PROD-033,7,Delhi NCR,IN_TRANSIT,45 minutes
TRK-CHE-5530,2026-08-16 22:48:05,BST-083,BST-086,PROD-004,17,Chennai,IN_TRANSIT,45 minutes
TRK-BEN-9386,2026-08-16 23:37:53,BST-038,BST-041,PROD-001,5,Bengaluru,IN_TRANSIT,45 minutes
TRK-KOL-9955,2026-08-17 01:43:32,BST-094,BST-096,PROD-033,1,Kolkata,IN_TRANSIT,45 minutes
TRK-DEL-6821,2026-08-28T13:42:13.963254+05:30,BST-002,BST-001,PROD-001,10,Delhi NCR,IN_TRANSIT,51 mins (13.69 km)
TRK-DEL-6713,2026-08-28T13:53:15.648210+05:30,BST-002,BST-001,PROD-001,10,Delhi NCR,IN_TRANSIT,51 mins (13.69 km)
TRK-DEL-3309,2026-08-28T13:55:10.279972+05:30,BST-002,BST-001,PROD-001,10,Delhi NCR,IN_TRANSIT,51 mins (13.69 km)
TRK-DEL-1330,2026-08-28T13:59:00.871528+05:30,BST-011,BST-010,PROD-023,39,Delhi NCR,IN_TRANSIT,16 mins (1.92 km)
TRK-DEL-5100,2026-08-28T13:59:14.462335+05:30,BST-011,BST-021,PROD-028,1,Delhi NCR,IN_TRANSIT,112 mins (33.95 km)
TRK-HYD-1791,2026-08-28T23:13:48.310522+05:30,BST-080,BST-076,PROD-004,5,Hyderabad,IN_TRANSIT,24 mins (4.5 km)
TRK-HYD-6650,2026-08-28T23:13:58.789685+05:30,BST-073,BST-076,PROD-005,7,Hyderabad,IN_TRANSIT,31 mins (6.9 km)
