Supplier_ID,Supplier_Name,Product_ID,Supplier_Price,Lead_Time,Minimum_Order,Supplier_Rating,Supplier_City,Supplier_Latitude,Supplier_Longitude
SUP-001-A,Modern Bakeries Delhi,PROD-001,40.0,1,20,4.6,Delhi NCR,28.6641,77.038
SUP-001-B,Amul Distributors West,PROD-001,37.2,3,50,4.0,Mumbai,18.995,72.7781
SUP-001-C,Britannia Sourcing Corp,PROD-001,43.2,1,5,4.3,Delhi NCR,28.699,77.2726
SUP-002-A,Modern Bakeries Delhi,PROD-002,25.0,1,20,4.5,Delhi NCR,28.6641,77.038
SUP-002-B,Amul Distributors West,PROD-002,23.25,3,50,4.1,Mumbai,18.995,72.7781
SUP-002-C,Britannia Sourcing Corp,PROD-002,27.0,1,5,4.2,Delhi NCR,28.699,77.2726
SUP-003-A,Modern Bakeries Delhi,PROD-003,64.0,1,20,4.5,Delhi NCR,28.6641,77.038
SUP-003-B,Amul Distributors West,PROD-003,59.52,3,50,4.0,Mumbai,18.995,72.7781
SUP-003-C,Britannia Sourcing Corp,PROD-003,69.12,1,5,4.4,Delhi NCR,28.699,77.2726
SUP-004-A,Haldiram Packers Limited,PROD-004,88.0,1,20,4.8,Bengaluru,13.1128,77.4459
SUP-004-B,Lays Foods India,PROD-004,81.84,3,50,4.0,Mumbai,19.0479,72.7084
SUP-004-C,Balaji Snacks Dist,PROD-004,95.04,1,5,4.4,Pune,18.4191,73.8586
SUP-005-A,Haldiram Packers Limited,PROD-005,44.0,1,20,4.8,Bengaluru,13.1128,77.4459
SUP-005-B,Lays Foods India,PROD-005,40.92,3,50,4.0,Mumbai,19.0479,72.7084
SUP-005-C,Balaji Snacks Dist,PROD-005,47.52,1,5,4.2,Pune,18.4191,73.8586
SUP-006-A,Haldiram Packers Limited,PROD-006,32.0,1,20,4.6,Bengaluru,13.1128,77.4459
SUP-006-B,Lays Foods India,PROD-006,29.76,3,50,4.3,Mumbai,19.0479,72.7084
SUP-006-C,Balaji Snacks Dist,PROD-006,34.56,1,5,4.5,Pune,18.4191,73.8586
SUP-007-A,Real Beverages India,PROD-007,35.0,1,20,4.8,Hyderabad,17.2146,78.3783
SUP-007-B,Coca Cola Bottling Noida,PROD-007,32.55,3,50,4.1,Delhi NCR,28.6679,77.2252
SUP-007-C,Raw Pressery Hub,PROD-007,37.8,1,5,4.5,Chennai,12.9821,80.3028
SUP-008-A,Real Beverages India,PROD-008,50.0,1,20,4.5,Hyderabad,17.2146,78.3783
SUP-008-B,Coca Cola Bottling Noida,PROD-008,46.5,3,50,4.0,Delhi NCR,28.6679,77.2252
SUP-008-C,Raw Pressery Hub,PROD-008,54.0,1,5,4.3,Chennai,12.9821,80.3028
SUP-009-A,Real Beverages India,PROD-009,38.0,1,20,4.6,Hyderabad,17.2146,78.3783
SUP-009-B,Coca Cola Bottling Noida,PROD-009,35.34,3,50,4.2,Delhi NCR,28.6679,77.2252
SUP-009-C,Raw Pressery Hub,PROD-009,41.04,1,5,4.4,Chennai,12.9821,80.3028
SUP-010-A,Chaayos Tea Premixers,PROD-010,130.0,1,20,4.6,Kolkata,22.684,88.1862
SUP-010-B,Lipton Brands India,PROD-010,120.9,3,50,3.9,Delhi NCR,28.724,77.2803
SUP-010-C,Nestea Sourcing Ltd,PROD-010,140.4,1,5,4.6,Bengaluru,12.9141,77.4706
SUP-011-A,Chaayos Tea Premixers,PROD-011,115.0,1,20,4.8,Kolkata,22.684,88.1862
SUP-011-B,Lipton Brands India,PROD-011,106.95,3,50,4.3,Delhi NCR,28.724,77.2803
SUP-011-C,Nestea Sourcing Ltd,PROD-011,124.2,1,5,4.5,Bengaluru,12.9141,77.4706
SUP-012-A,Chaayos Tea Premixers,PROD-012,140.0,1,20,4.7,Kolkata,22.684,88.1862
SUP-012-B,Lipton Brands India,PROD-012,130.2,3,50,4.1,Delhi NCR,28.724,77.2803
SUP-012-C,Nestea Sourcing Ltd,PROD-012,151.2,1,5,4.2,Bengaluru,12.9141,77.4706
SUP-013-A,DOMS Industries Delhi,PROD-013,35.0,1,20,4.9,Delhi NCR,28.7785,77.1502
SUP-013-B,Creative Paper Mills Ltd,PROD-013,32.55,3,50,3.9,Mumbai,18.9294,72.7325
