Store_ID,Product_ID,Current_Stock,Reserved_Stock,available_stock,avg_daily_demand,demand_std,Min_Lead_Time_Days,safety_stock_used,reorder_point,needs_reorder,recommended_order_qty,is_overstocked,Maximum_Capacity
BST-001,PROD-001,2581,140,2441,16.824103284286338,2.2146555615382844,1,1493.0,1509.8,False,0,True,6175
BST-001,PROD-002,10,3,7,22.31157950531758,2.4115870573557294,1,9.0,31.3,True,256,False,266
BST-001,PROD-003,2118,242,1876,12.38614105799417,1.7039714730921152,1,705.0,717.4,False,0,True,6404
BST-001,PROD-004,21,0,21,14.902326129250863,2.04446775846345,1,6.0,20.9,False,133,False,175
BST-001,PROD-005,4257,310,3947,19.13526658864956,3.685793457056849,1,653.0,672.1,False,0,True,5398
BST-001,PROD-006,1861,140,1721,17.578823939760657,2.6365070149680063,1,465.0,482.6,False,0,True,2810
BST-001,PROD-007,1776,387,1389,14.52416129898428,1.9319818613600686,1,368.0,382.5,False,0,True,2368
BST-001,PROD-008,39,3,36,12.184491609403468,1.617153717055399,1,5.0,17.2,False,108,False,147
BST-001,PROD-009,16,3,13,13.550954496898296,2.0624701302041344,1,6.0,19.6,True,145,False,161
BST-001,PROD-010,18,1,17,4.814756824086942,0.6029323803069179,1,4.0,8.8,False,42,False,60
BST-001,PROD-011,304,11,293,6.225650554748406,0.99745642214294,1,487.0,493.2,True,281,True,2409
BST-001,PROD-012,485,18,467,7.3156709203723285,0.8420204835592949,1,460.0,467.3,False,0,True,3073
BST-001,PROD-013,8,4,4,7.425836001306474,1.1639715370676837,1,4.0,11.4,True,80,False,88
BST-001,PROD-014,26,5,21,9.659549063542602,1.3062621081725203,1,4.0,13.7,False,93,False,119
BST-001,PROD-015,11,2,9,5.040505375628918,0.735487832621279,1,4.0,9.0,False,49,False,60
BST-001,PROD-016,12,4,8,3.8189030011768397,0.5057530220901741,1,4.0,7.8,False,40,False,52
BST-001,PROD-017,6,4,2,1.0975560378471394,0.16818312394465398,1,4.0,5.1,True,17,False,52
BST-001,PROD-018,4153,426,3727,2.416892191277689,0.34911588659510684,1,915.0,917.4,False,0,True,4935
BST-001,PROD-019,50,5,45,23.6158304223656,2.9355145451742155,1,10.0,33.6,False,244,False,294
BST-001,PROD-020,72,4,68,31.43775880704734,4.202049544038029,1,13.0,44.4,False,296,False,368
BST-001,PROD-021,66,4,62,21.6436590087611,2.9319487829396955,1,9.0,30.6,False,200,False,266
BST-001,PROD-022,208,20,188,17.046688441918096,2.258482867991924,1,152.0,169.0,False,203,False,2015
BST-001,PROD-023,15,0,15,14.284622212841914,1.653868052099526,1,6.0,20.3,True,160,False,175
BST-001,PROD-024,2113,28,2085,12.106828345239817,1.6027577911820141,1,967.0,979.1,False,0,True,4046
BST-001,PROD-025,445,94,351,7.156905850780545,1.0842774855383392,1,913.0,920.2,True,662,True,4343
BST-001,PROD-026,1740,284,1456,5.910518558407864,0.861876050074295,1,1004.0,1009.9,False,0,True,8013
BST-001,PROD-027,17,0,17,4.792600791921575,0.7338223808402533,1,4.0,8.8,False,43,False,60
BST-001,PROD-028,10,0,10,4.922389226830897,0.7969294297259713,1,4.0,8.9,False,50,False,60
BST-001,PROD-029,5782,391,5391,3.783211353165688,0.436817806654662,1,1488.0,1491.8,False,0,True,6174
BST-001,PROD-030,9,3,6,4.863720616297541,0.6213782918759225,1,4.0,8.9,True,51,False,60
BST-001,PROD-031,7,3,4,1.0115344617766069,0.011315525878086699,1,4.0,5.0,True,14,False,52
BST-001,PROD-032,15,1,14,1.0040958035760348,0.01015538446058573,1,4.0,5.0,False,4,False,52
BST-001,PROD-033,1008,286,722,1.005085133041015,0.009815043566778038,1,1110.0,1111.0,True,402,True,7818
BST-001,PROD-034,13,5,8,1.0037491559871257,0.00977197216138649,1,4.0,5.0,False,10,False,52
