Store_ID,Product_ID,Product_Name,Category,recommended_order_qty,Best_Supplier_ID,Best_Supplier_Name,Best_Supplier_Price,Selling_Price,procurement_cost,expected_revenue,holding_cost_est,expected_profit
BST-002,PROD-034,Fevicryl Acrylic Color (Multicolour),Festive Specials,1583,SUP-034-A,ServD Pooja Decoratives,160.0,224.0,253280.0,354592.0,5065.6,96246.4
BST-003,PROD-010,Lipton Honey Lemon Green Tea Bags,"Tea, Coffee & Milk Drinks",551,SUP-010-A,Chaayos Tea Premixers,130.0,172.0,71630.0,94772.0,1432.6000000000001,21709.4
BST-003,PROD-012,Nestea Ice Tea Premix - Lemon Flavour,"Tea, Coffee & Milk Drinks",494,SUP-012-A,Chaayos Tea Premixers,140.0,186.0,69160.0,91884.0,1383.2,21340.8
BST-001,PROD-012,Nestea Ice Tea Premix - Lemon Flavour,"Tea, Coffee & Milk Drinks",477,SUP-012-A,Chaayos Tea Premixers,140.0,186.0,66780.0,88722.0,1335.6000000000001,20606.4
BST-001,PROD-025,Kellogg's Original Corn Flakes,Dry Fruits & Cereals,662,SUP-025-A,Kellogg Cereal Packers,90.0,115.0,59580.0,76130.0,1191.6000000000001,15358.4
BST-004,PROD-025,Kellogg's Original Corn Flakes,Dry Fruits & Cereals,627,SUP-025-A,Kellogg Cereal Packers,90.0,115.0,56430.0,72105.0,1128.6000000000001,14546.4
BST-003,PROD-003,iD Idli & Dosa Batter - 1 kg,"Dairy, Bread & Eggs",982,SUP-003-A,Modern Bakeries Delhi,64.0,80.0,62848.0,78560.0,1256.96,14455.04
BST-006,PROD-010,Lipton Honey Lemon Green Tea Bags,"Tea, Coffee & Milk Drinks",266,SUP-010-A,Chaayos Tea Premixers,130.0,172.0,34580.0,45752.0,691.6,10480.4
BST-009,PROD-022,Parle Melody Bigger Chocolaty Toffee,Sweets & Chocolates,801,SUP-022-A,Parle Confectioners,38.0,50.0,30438.0,40050.0,608.76,9003.24
BST-001,PROD-011,Chaayos Masala Instant Tea Premix Regular Sugar,"Tea, Coffee & Milk Drinks",281,SUP-011-A,Chaayos Tea Premixers,115.0,149.0,32315.0,41869.0,646.3000000000001,8907.7
BST-008,PROD-003,iD Idli & Dosa Batter - 1 kg,"Dairy, Bread & Eggs",465,SUP-003-A,Modern Bakeries Delhi,64.0,80.0,29760.0,37200.0,595.2,6844.8
BST-002,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,337,SUP-004-A,Haldiram Packers Limited,88.0,110.0,29656.0,37070.0,593.12,6820.88
BST-005,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,302,SUP-004-A,Haldiram Packers Limited,88.0,110.0,26576.0,33220.0,531.52,6112.48
BST-054,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,254,SUP-004-A,Haldiram Packers Limited,88.0,110.0,22352.0,27940.0,447.04,5140.96
BST-054,PROD-012,Nestea Ice Tea Premix - Lemon Flavour,"Tea, Coffee & Milk Drinks",118,SUP-012-A,Chaayos Tea Premixers,140.0,186.0,16520.0,21948.0,330.40000000000003,5097.6
BST-087,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,249,SUP-004-A,Haldiram Packers Limited,88.0,110.0,21912.0,27390.0,438.24,5039.76
BST-045,PROD-012,Nestea Ice Tea Premix - Lemon Flavour,"Tea, Coffee & Milk Drinks",115,SUP-012-A,Chaayos Tea Premixers,140.0,186.0,16100.0,21390.0,322.0,4968.0
BST-055,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,243,SUP-004-A,Haldiram Packers Limited,88.0,110.0,21384.0,26730.0,427.68,4918.32
BST-045,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,242,SUP-004-A,Haldiram Packers Limited,88.0,110.0,21296.0,26620.0,425.92,4898.08
BST-052,PROD-012,Nestea Ice Tea Premix - Lemon Flavour,"Tea, Coffee & Milk Drinks",113,SUP-012-A,Chaayos Tea Premixers,140.0,186.0,15820.0,21018.0,316.40000000000003,4881.6
BST-100,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,237,SUP-004-A,Haldiram Packers Limited,88.0,110.0,20856.0,26070.0,417.12,4796.88
BST-052,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,235,SUP-004-A,Haldiram Packers Limited,88.0,110.0,20680.0,25850.0,413.6,4756.4
BST-010,PROD-023,Wrigley's Doublemint Peppermint Chewy Mint Candies,Sweets & Chocolates,499,SUP-023-A,Parle Confectioners,35.0,45.0,17465.0,22455.0,349.3,4640.7
BST-014,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,229,SUP-004-A,Haldiram Packers Limited,88.0,110.0,20152.0,25190.0,403.04,4634.96
BST-033,PROD-004,Haldiram's Aloo Bhujia,Chips & Namkeen,224,SUP-004-A,Haldiram Packers Limited,88.0,110.0,19712.0,24640.0,394.24,4533.76
