Product_ID,Supplier_ID,Supplier_Name,Supplier_Price,Lead_Time,Supplier_Rating,supplier_score,rank_in_product
PROD-001,SUP-001-A,Modern Bakeries Delhi,40.0,1,4.6,0.7667,1
PROD-001,SUP-001-B,Amul Distributors West,37.2,3,4.0,0.5,2
PROD-001,SUP-001-C,Britannia Sourcing Corp,43.2,1,4.3,0.35,3
PROD-002,SUP-002-A,Modern Bakeries Delhi,25.0,1,4.5,0.7667,1
PROD-002,SUP-002-B,Amul Distributors West,23.25,3,4.1,0.5,2
PROD-002,SUP-002-C,Britannia Sourcing Corp,27.0,1,4.2,0.275,3
PROD-003,SUP-003-A,Modern Bakeries Delhi,64.0,1,4.5,0.7667,1
PROD-003,SUP-003-B,Amul Distributors West,59.52,3,4.0,0.5,2
PROD-003,SUP-003-C,Britannia Sourcing Corp,69.12,1,4.4,0.44,3
PROD-004,SUP-004-A,Haldiram Packers Limited,88.0,1,4.8,0.7667,1
PROD-004,SUP-004-B,Lays Foods India,81.84,3,4.0,0.5,2
PROD-004,SUP-004-C,Balaji Snacks Dist,95.04,1,4.4,0.35,3
PROD-005,SUP-005-A,Haldiram Packers Limited,44.0,1,4.8,0.7667,1
PROD-005,SUP-005-B,Lays Foods India,40.92,3,4.0,0.5,2
PROD-005,SUP-005-C,Balaji Snacks Dist,47.52,1,4.2,0.275,3
PROD-006,SUP-006-A,Haldiram Packers Limited,32.0,1,4.6,0.7667,1
PROD-006,SUP-006-B,Lays Foods India,29.76,3,4.3,0.5,2
PROD-006,SUP-006-C,Balaji Snacks Dist,34.56,1,4.5,0.4,3
PROD-007,SUP-007-A,Real Beverages India,35.0,1,4.8,0.7667,1
PROD-007,SUP-007-B,Coca Cola Bottling Noida,32.55,3,4.1,0.5,2
PROD-007,SUP-007-C,Raw Pressery Hub,37.8,1,4.5,0.3714,3
PROD-008,SUP-008-A,Real Beverages India,50.0,1,4.5,0.7667,1
PROD-008,SUP-008-B,Coca Cola Bottling Noida,46.5,3,4.0,0.5,2
PROD-008,SUP-008-C,Raw Pressery Hub,54.0,1,4.3,0.38,3
PROD-009,SUP-009-A,Real Beverages India,38.0,1,4.6,0.7667,1
PROD-009,SUP-009-B,Coca Cola Bottling Noida,35.34,3,4.2,0.5,2
PROD-009,SUP-009-C,Raw Pressery Hub,41.04,1,4.4,0.35,3
PROD-010,SUP-010-A,Chaayos Tea Premixers,130.0,1,4.6,0.7667,1
PROD-010,SUP-010-B,Lipton Brands India,120.9,3,3.9,0.5,2
PROD-010,SUP-010-C,Nestea Sourcing Ltd,140.4,1,4.6,0.5,3
PROD-011,SUP-011-A,Chaayos Tea Premixers,115.0,1,4.8,0.7667,1
PROD-011,SUP-011-B,Lipton Brands India,106.95,3,4.3,0.5,2
PROD-011,SUP-011-C,Nestea Sourcing Ltd,124.2,1,4.5,0.32,3
PROD-012,SUP-012-A,Chaayos Tea Premixers,140.0,1,4.7,0.7667,1
PROD-012,SUP-012-B,Lipton Brands India,130.2,3,4.1,0.5,2
PROD-012,SUP-012-C,Nestea Sourcing Ltd,151.2,1,4.2,0.25,3
PROD-013,SUP-013-A,DOMS Industries Delhi,35.0,1,4.9,0.7667,1
PROD-013,SUP-013-B,Creative Paper Mills Ltd,32.55,3,3.9,0.5,2
PROD-013,SUP-013-C,A4 Stationery Wholesalers,37.8,1,4.6,0.41,3
PROD-014,SUP-014-A,DOMS Industries Delhi,25.0,1,4.6,0.7667,1
PROD-014,SUP-014-B,Creative Paper Mills Ltd,23.25,3,4.2,0.5,2
PROD-014,SUP-014-C,A4 Stationery Wholesalers,27.0,1,4.2,0.2,3
PROD-015,SUP-015-A,DOMS Industries Delhi,36.0,1,4.8,0.7667,1
PROD-015,SUP-015-B,Creative Paper Mills Ltd,33.48,3,4.2,0.5,2
PROD-015,SUP-015-C,A4 Stationery Wholesalers,38.88,1,4.2,0.2,3
PROD-016,SUP-016-A,Nayasa Household Plastics,50.0,1,4.7,0.7667,1
PROD-016,SUP-016-B,Trident Cotton Textiles,46.5,3,3.9,0.5,2
PROD-016,SUP-016-C,Homestrap Closet Solutions,54.0,1,4.5,0.425,3
PROD-017,SUP-017-A,Nayasa Household Plastics,220.0,1,4.5,0.7667,1
PROD-017,SUP-017-B,Trident Cotton Textiles,204.6,3,4.1,0.5,2
PROD-017,SUP-017-C,Homestrap Closet Solutions,237.6,1,4.3,0.35,3
PROD-018,SUP-018-A,Nayasa Household Plastics,200.0,1,4.7,0.7667,1
PROD-018,SUP-018-B,Trident Cotton Textiles,186.0,3,3.9,0.5,2
PROD-018,SUP-018-C,Homestrap Closet Solutions,216.0,1,4.3,0.35,3
PROD-019,SUP-019-A,Safal Fresh Greens Delhi,32.0,1,4.5,0.7667,1
PROD-019,SUP-019-B,Mumbai APMC Wholesalers,29.76,3,4.3,0.5,2
PROD-019,SUP-019-C,Bengaluru Organic Farms,34.56,1,4.5,0.5,3
PROD-020,SUP-020-A,Safal Fresh Greens Delhi,18.0,1,4.6,0.7667,1
PROD-020,SUP-020-B,Mumbai APMC Wholesalers,16.74,3,4.1,0.5,2
PROD-020,SUP-020-C,Bengaluru Organic Farms,19.44,1,4.3,0.32,3
PROD-021,SUP-021-A,Safal Fresh Greens Delhi,28.0,1,4.8,0.7667,1
PROD-021,SUP-021-B,Mumbai APMC Wholesalers,26.04,3,3.9,0.5,2
PROD-021,SUP-021-C,Bengaluru Organic Farms,30.24,1,4.3,0.3333,3
PROD-022,SUP-022-A,Parle Confectioners,38.0,1,4.6,0.7667,1
PROD-022,SUP-022-B,Wrigley India Distributors,35.34,3,4.1,0.5,2
PROD-022,SUP-022-C,Cadbury India Sourcing,41.04,1,4.3,0.32,3
PROD-023,SUP-023-A,Parle Confectioners,35.0,1,4.8,0.7667,1
PROD-023,SUP-023-B,Wrigley India Distributors,32.55,3,4.2,0.5,2
PROD-023,SUP-023-C,Cadbury India Sourcing,37.8,1,4.5,0.35,3
PROD-024,SUP-024-A,Parle Confectioners,35.0,1,4.8,0.7667,1
PROD-024,SUP-024-B,Wrigley India Distributors,32.55,3,4.1,0.5,2
PROD-024,SUP-024-C,Cadbury India Sourcing,37.8,1,4.7,0.4571,3
PROD-025,SUP-025-A,Kellogg Cereal Packers,90.0,1,4.6,0.7667,1
PROD-025,SUP-025-B,Bagrrys Cereals Delhi,83.7,3,4.3,0.5,2
PROD-025,SUP-025-C,Nuts & Spices Trading,97.2,1,4.3,0.2,3
PROD-026,SUP-026-A,Kellogg Cereal Packers,120.0,1,4.6,0.7667,1
PROD-026,SUP-026-B,Bagrrys Cereals Delhi,111.6,3,4.4,0.5,2
PROD-026,SUP-026-C,Nuts & Spices Trading,129.6,1,4.5,0.35,3
PROD-027,SUP-027-A,Kellogg Cereal Packers,72.0,1,4.7,0.7667,1
PROD-027,SUP-027-B,Bagrrys Cereals Delhi,66.96,3,4.2,0.5,2
PROD-027,SUP-027-C,Nuts & Spices Trading,77.76,1,4.3,0.26,3
PROD-028,SUP-028-A,MTR Food Packers,100.0,1,4.7,0.7667,1
PROD-028,SUP-028-B,Pillsbury Milling Noida,93.0,3,4.1,0.5,2
PROD-028,SUP-028-C,Nestle Instant Foods,108.0,1,4.4,0.35,3
PROD-029,SUP-029-A,MTR Food Packers,78.0,1,4.6,0.7667,1
PROD-029,SUP-029-B,Pillsbury Milling Noida,72.54,3,3.9,0.5,2
PROD-029,SUP-029-C,Nestle Instant Foods,84.24,1,4.2,0.3286,3
PROD-030,SUP-030-A,MTR Food Packers,28.0,1,4.8,0.7667,1
PROD-030,SUP-030-B,Pillsbury Milling Noida,26.04,3,4.0,0.5,2
PROD-030,SUP-030-C,Nestle Instant Foods,30.24,1,4.6,0.425,3
PROD-031,SUP-031-A,ServD Pooja Decoratives,40.0,1,4.5,0.7067,1
PROD-031,SUP-031-B,Vidya Rakhi Craft Delhi,37.2,3,4.1,0.5,2
PROD-031,SUP-031-C,Fevicryl Colors Ltd,43.2,1,4.6,0.5,3
PROD-032,SUP-032-A,ServD Pooja Decoratives,25.0,1,4.6,0.7667,1
PROD-032,SUP-032-B,Vidya Rakhi Craft Delhi,23.25,3,4.3,0.5,2
